epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,1276.44,1.08226,1.17573,1.59222,0.89497,0.9,0.91623,0.52818,1.40743,1.63365,2.41141,0.00147728,0.00147728,0.00147728
134,1285.61,1.51039,1.2991,1.9045,0.91697,0.9,0.94401,0.58968,1.34539,1.62151,2.29553,0.00147332,0.00147332,0.00147332
135,1294.89,1.57199,1.23135,2.16544,0.91697,0.9,0.94401,0.58968,1.34539,1.62151,2.29553,0.00146936,0.00146936,0.00146936
136,1304.09,1.6438,1.46453,2.37153,0.96076,0.85,0.97333,0.51335,1.55836,1.30274,2.4774,0.0014654,0.0014654,0.0014654
137,1313.33,1.28255,1.12055,1.78871,0.96076,0.85,0.97333,0.51335,1.55836,1.30274,2.4774,0.00146144,0.00146144,0.00146144
138,1322.38,1.51129,1.23684,1.92451,0.86923,0.95,0.97437,0.48528,1.63413,1.60346,2.50031,0.00145748,0.00145748,0.00145748
139,1331.62,1.41507,1.27718,1.90988,0.86923,0.95,0.97437,0.48528,1.63413,1.60346,2.50031,0.00145352,0.00145352,0.00145352
140,1341.08,1.43009,1.20151,1.93799,0.88995,0.9,0.9407,0.57811,1.45359,1.19896,2.36023,0.00144956,0.00144956,0.00144956
141,1350.32,1.25255,1.08487,1.843,0.88995,0.9,0.9407,0.57811,1.45359,1.19896,2.36023,0.0014456,0.0014456,0.0014456
142,1359.61,1.26516,1.11857,1.7348,0.90253,0.92655,0.92942,0.55216,1.43909,1.12274,2.29248,0.00144164,0.00144164,0.00144164
143,1368.86,1.41113,1.20739,1.9988,0.90253,0.92655,0.92942,0.55216,1.43909,1.12274,2.29248,0.00143768,0.00143768,0.00143768
144,1378.09,1.52804,1.36927,1.94659,0.90033,0.90343,0.96325,0.52664,1.44267,1.14717,2.32599,0.00143372,0.00143372,0.00143372
145,1387.27,1.3978,1.11155,1.8503,0.90033,0.90343,0.96325,0.52664,1.44267,1.14717,2.32599,0.00142976,0.00142976,0.00142976
146,1396.61,1.27365,1.07076,1.90961,0.89926,0.85,0.96405,0.58643,1.39377,1.10315,2.29554,0.0014258,0.0014258,0.0014258
147,1405.75,1.30508,1.02406,1.77372,0.89926,0.85,0.96405,0.58643,1.39377,1.10315,2.29554,0.00142184,0.00142184,0.00142184
148,1414.98,1.4107,1.13758,1.76544,0.98338,0.85,0.96443,0.6183,1.29022,1.05925,2.21798,0.00141788,0.00141788,0.00141788
